UNIT CODE, UNIT NAME
"IMED6005,",Integrated Pharmacology and Therapeutics - Central Nervous System
"MATH2007,",Mathematics and Probability Theory
"IMED6009,",Advanced Pharmaceutics 1
"IMED6004,",Advanced Pharmaceutics 2
"XINO3021,",International Study Abroad 5
"XINO3022,",International Study Abroad 6
"XINO3023,",International Study Abroad 7
"XINO3019,",International Experience 11
"XINO3020,",International Experience 12
"XINO3018,",International Experience 10
"SUST5023,",Sustainability Project
"SPAT1006,",Spatial Data Modelling and Errors
"ENGR3005,",Energy Transport
"CSEN4005,",Precast Concrete Design and Construction
"MGMT5053,",Applied Corporate Law (GIA)
"LAWS3024,",Current Topics in Law
"FORS5001,",Recovery and Detection of Latent Fingermarks
"PHRM6008,",Community Pharmacy Placement
"REHT5002,",Fundamentals of Clinical Science in Speech Pathology 2
"SPPA5000,",Fundamentals of Clinical Practice in Speech Pathology 1
"SPPA5001,",Fundamentals of Dysphagia Management
"EDIB4000,",Introduction to the International Baccalaureate Programme
"SPPA5002,",Fundamentals of Phonetics and Phonology
"SPPA6006,",Research Project in Speech Pathology
"SPPA6000,",Fundamentals of Clinical Practice in Speech Pathology 3
"SPPA6003,",Fundamentals of Clinical Practice in Speech Pathology 4
"REHT6001,",Fundamentals of Research to Practice in Speech Pathology
"REHT5001,",Fundamentals of Clinical Science in Speech Pathology 1
"REHT5004,",Fundamentals of Research Data Analysis in Speech Pathology
"ISAD4002,",Extended Software Metrics
"MIDW3007,",Women's Reproductive Health
"EDUC5027,",Diverse Abilities and Curriculum Differentiation
"PEEN4000,",Crude Oil Processing
"LAWS5004,",Law and Administrative Policies
"LAWS2007,",Comparative Law
"LAWS3013,",Construction Law
"MATH0005,",Bridging Mathematics
"VISA5000,",Art and Design Project 1
"JOUR5013,",Introduction to Journalism - Broadcast
"PUBP6010,",Decision Making Under Uncertainty
"EDSC2000,",Assessment in Secondary Schools
"PHRM6007,",Advanced Pharmacy Research
"PHRM5006,",Advanced Pharmacy Research Methods
"IMED5006,",Antimicrobial Therapeutics
"MGMT5016,",Graduate Business Research Project
"MINE1000,","Maintenance, Monitoring and Well Management"
"MIDW6003,",Maternity High Dependency
"PHTY7015,",Physiotherapy Doctoral Dissertation
"PHIL2000,",Spiritual Traditions and Religions of Borneo
"OCCT4004,",Fieldwork for Occupational Therapy 3
"NURS6002,",Health Project 2
"OCHS1000,",Occupational Health and Safety in Mining
"IMED5007,",Clinical Pharmacokinetics and Medicinal Chemistry
"INDH2007,",Mental Health Law and Ethics
"INDH2008,",Behavioural Science for Indigenous Mental Health Practitioners
"INDH2009,","Crisis Intervention, Self-Harm and Suicide Prevention"
"INDR1000,",Teamwork and Planning
"INDR1001,",Workplace Processes and Procedures
"INCD3007,",Indigenous Australian Community Practice
"INCD3008,",Working in Indigenous Australian Contexts
"PHAR6008,",Professional Pharmacy Practice 2
"ENEN6001,",Sustainable Energy Principles and Policy
"CHEN5022,",Fundamentals of Air Pollution Control
"WSEN5000,",Wastewater Treatment
"HUMB3007,",Applied Anatomical Practice
"NURS4005,",Health and Wellbeing in Older People
"MEDS3006,",Microbes and Disease
"ISEC6003,",Ethical Hacking
"FOOD5005,",Sustainable Futures 3
"MINE5015,",Future of Mining 1
"MINE5016,",Future of Mining 2
"MINE5017,",Future of Mining 3
"CMPE5002,",Internet of Things 1
"MGMT5041,",Business Futures 1
"MGMT5042,",Business Futures 2
"PUBH5002,",Health Advocacy 1
"PUBH5003,",Health Advocacy 2
"PUBH5004,",Health Advocacy 3
"PRJM5000,",Professional Practice 1
"PRJM5001,",Professional Practice 2
"PRJM5002,",Professional Practice 3
"GRDE5005,",Designing Futures 1
"GRDE5006,",Designing Futures 2
"GRDE5007,",Designing Futures 3
"FOOD5003,",Sustainable Futures 1
"FOOD5004,",Sustainable Futures 2
"INDH2001,",Indigenous Australian Health Project Management
